id,company_name,book_value,roe_percentage,roce_percentage,market_cap_crore,pe_ratio,pb_ratio
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",265.0,18.1,12.9,697221.18,50.76,1.64
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",265.0,18.1,12.9,702836.27,53.52,5.91
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",265.0,18.1,12.9,733808.16,15.26,3.96
ADANIPOWER,Adani Power Ltd,145.0,57.1,32.2,986259.76,66.6,14.89
ADANIPOWER,Adani Power Ltd,145.0,57.1,32.2,1042747.57,52.23,2.28
ADANIPOWER,Adani Power Ltd,145.0,57.1,32.2,1074636.56,33.86,8.51
ADANIPOWER,Adani Power Ltd,145.0,57.1,32.2,1117866.08,66.83,5.7
ADANIPOWER,Adani Power Ltd,145.0,57.1,32.2,1188256.85,27.22,4.37
ADANIPOWER,Adani Power Ltd,145.0,57.1,32.2,1372183.55,44.57,9.91
AMBUJACEM,Ambuja Cements Ltd,205.0,9.24,12.8,833955.32,46.35,0.8
AMBUJACEM,Ambuja Cements Ltd,205.0,9.24,12.8,1025434.68,79.32,9.29
AMBUJACEM,Ambuja Cements Ltd,205.0,9.24,12.8,1157298.18,33.86,3.27
AMBUJACEM,Ambuja Cements Ltd,205.0,9.24,12.8,1165353.63,45.48,10.09
AMBUJACEM,Ambuja Cements Ltd,205.0,9.24,12.8,1281411.04,55.62,9.21
AMBUJACEM,Ambuja Cements Ltd,205.0,9.24,12.8,1410892.33,73.29,1.59
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",522.0,13.81,17.2,1083786.88,49.76,14.18
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",522.0,13.81,17.2,1154138.06,11.18,6.7
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",522.0,13.81,17.2,1275343.54,28.39,8.78
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",522.0,13.81,17.2,1446203.76,17.38,12.98
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",522.0,13.81,17.2,1499729.8,53.27,1.11
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",522.0,13.81,17.2,1905622.43,47.72,7.68
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0,31.45,41.75,1065817.17,30.34,5.08
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0,31.45,41.75,1148763.92,13.27,6.46
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0,31.45,41.75,1269304.94,78.48,8.21
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0,31.45,41.75,1711731.0,40.61,0.54
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0,31.45,41.75,2091585.31,49.2,4.65
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",188.0,31.45,41.75,2126725.18,73.37,3.9
ATGL,Adani Total Gas Ltd,36.0,20.5,21.2,1099356.08,22.78,14.0
ATGL,Adani Total Gas Ltd,36.0,20.5,21.2,1148243.4,21.14,0.81
ATGL,Adani Total Gas Ltd,36.0,20.5,21.2,1254318.65,35.59,6.88
ATGL,Adani Total Gas Ltd,36.0,20.5,21.2,1535602.41,56.96,5.76
ATGL,Adani Total Gas Ltd,36.0,20.5,21.2,1548060.05,74.55,14.11
ATGL,Adani Total Gas Ltd,36.0,20.5,21.2,1644865.15,28.01,4.26
AXISBANK,Axis Bank Ltd,509.0,18.4,7.06,609012.03,65.08,0.53
AXISBANK,Axis Bank Ltd,509.0,18.4,7.06,658857.1,32.36,2.69
AXISBANK,Axis Bank Ltd,509.0,18.4,7.06,734196.42,56.88,1.27
AXISBANK,Axis Bank Ltd,509.0,18.4,7.06,766941.69,60.2,4.08
AXISBANK,Axis Bank Ltd,509.0,18.4,7.06,939586.86,38.88,12.76
AXISBANK,Axis Bank Ltd,509.0,18.4,7.06,948868.63,38.14,4.66
BAJAJ-AUTO,Bajaj Auto Ltd,1109.0,26.5,33.5,323040.49,42.63,11.32
BAJAJ-AUTO,Bajaj Auto Ltd,1109.0,26.5,33.5,351288.98,79.31,9.65
BAJAJ-AUTO,Bajaj Auto Ltd,1109.0,26.5,33.5,453226.79,49.41,11.43
BAJAJ-AUTO,Bajaj Auto Ltd,1109.0,26.5,33.5,552671.87,78.58,8.54
BAJAJ-AUTO,Bajaj Auto Ltd,1109.0,26.5,33.5,578373.58,49.72,10.06
BAJAJ-AUTO,Bajaj Auto Ltd,1109.0,26.5,33.5,653817.3,29.91,9.83
BAJAJFINSV,Bajaj Finserv Ltd,428.0,11.72,21.14,1148808.62,43.61,5.19
BAJAJFINSV,Bajaj Finserv Ltd,428.0,11.72,21.14,1182995.84,33.33,3.61
BAJAJFINSV,Bajaj Finserv Ltd,428.0,11.72,21.14,1489062.77,51.06,2.31
BAJAJFINSV,Bajaj Finserv Ltd,428.0,11.72,21.14,1845750.3,76.89,13.57
BAJAJFINSV,Bajaj Finserv Ltd,428.0,11.72,21.14,1877835.72,59.39,12.5
BAJAJFINSV,Bajaj Finserv Ltd,428.0,11.72,21.14,1905112.17,15.07,6.08
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5375.0,14.8,13.1,1014477.55,76.88,9.04
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5375.0,14.8,13.1,1365867.86,50.76,2.05
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5375.0,14.8,13.1,1366103.22,35.88,14.51
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5375.0,14.8,13.1,1394489.39,79.41,5.56
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5375.0,14.8,13.1,1714344.05,26.75,3.46
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,5375.0,14.8,13.1,2191568.13,37.73,9.38
BAJFINANCE,Bajaj Finance Ltd,1402.0,22.1,11.9,865823.64,58.62,5.53
BAJFINANCE,Bajaj Finance Ltd,1402.0,22.1,11.9,973552.26,46.9,6.39
BAJFINANCE,Bajaj Finance Ltd,1402.0,22.1,11.9,1106057.88,35.63,6.6
BAJFINANCE,Bajaj Finance Ltd,1402.0,22.1,11.9,1422060.71,54.84,11.71
BAJFINANCE,Bajaj Finance Ltd,1402.0,22.1,11.9,1896088.83,19.1,4.67
BAJFINANCE,Bajaj Finance Ltd,1402.0,22.1,11.9,2473271.58,69.2,4.11
BANKBARODA,Bank of Baroda,231.0,16.7,6.33,426745.64,67.24,12.42
BANKBARODA,Bank of Baroda,231.0,16.7,6.33,427508.41,36.0,9.78
BANKBARODA,Bank of Baroda,231.0,16.7,6.33,464725.74,27.29,5.48
BANKBARODA,Bank of Baroda,231.0,16.7,6.33,471014.36,71.63,11.42
BANKBARODA,Bank of Baroda,231.0,16.7,6.33,473985.89,74.28,5.71
BANKBARODA,Bank of Baroda,231.0,16.7,6.33,590971.02,16.89,4.15
BEL,Bharat Electronics Ltd,24.0,26.3,34.6,770752.45,73.48,7.9
BEL,Bharat Electronics Ltd,24.0,26.3,34.6,901058.99,52.67,6.64
BEL,Bharat Electronics Ltd,24.0,26.3,34.6,902791.12,59.94,4.28
BEL,Bharat Electronics Ltd,24.0,26.3,34.6,1055965.69,18.0,12.66
BEL,Bharat Electronics Ltd,24.0,26.3,34.6,1143459.9,72.89,7.89
BEL,Bharat Electronics Ltd,24.0,26.3,34.6,1354781.06,17.89,9.22
BHARTIARTL,Bharti Airtel Ltd,153.0,14.9,13.1,196241.62,79.6,5.46
BHARTIARTL,Bharti Airtel Ltd,153.0,14.9,13.1,224578.88,70.91,12.2
BHARTIARTL,Bharti Airtel Ltd,153.0,14.9,13.1,232971.76,15.3,7.28
BHARTIARTL,Bharti Airtel Ltd,153.0,14.9,13.1,276579.83,57.38,9.43
BHARTIARTL,Bharti Airtel Ltd,153.0,14.9,13.1,288871.93,66.89,3.6
BHARTIARTL,Bharti Airtel Ltd,153.0,14.9,13.1,378605.83,63.78,6.28
BHEL,"Bharat Heavy Electricals Limited
",70.0,1.05,3.28,350456.18,40.83,10.29
BHEL,"Bharat Heavy Electricals Limited
",70.0,1.05,3.28,367749.87,43.86,9.43
BHEL,"Bharat Heavy Electricals Limited
",70.0,1.05,3.28,414401.34,59.14,11.39
BHEL,"Bharat Heavy Electricals Limited
",70.0,1.05,3.28,452493.05,23.85,9.42
BHEL,"Bharat Heavy Electricals Limited
",70.0,1.05,3.28,499389.38,31.13,9.5
BHEL,"Bharat Heavy Electricals Limited
",70.0,1.05,3.28,540053.85,29.8,11.43
BOSCHLTD,Bosch Ltd,4319.0,16.0,20.6,1332371.44,31.28,12.85
BOSCHLTD,Bosch Ltd,4319.0,16.0,20.6,1557190.4,56.11,11.21
BOSCHLTD,Bosch Ltd,4319.0,16.0,20.6,1765282.83,37.83,3.62
BOSCHLTD,Bosch Ltd,4319.0,16.0,20.6,1812529.57,21.27,6.04
BOSCHLTD,Bosch Ltd,4319.0,16.0,20.6,2334820.89,28.16,4.01
BOSCHLTD,Bosch Ltd,4319.0,16.0,20.6,2599556.05,58.43,6.47
BPCL,Bharat Petroleum Corporation Ltd,178.0,41.9,32.1,417435.04,25.37,3.65
BPCL,Bharat Petroleum Corporation Ltd,178.0,41.9,32.1,468662.13,68.15,0.72
BPCL,Bharat Petroleum Corporation Ltd,178.0,41.9,32.1,484980.46,35.8,5.24
BPCL,Bharat Petroleum Corporation Ltd,178.0,41.9,32.1,514923.42,40.91,7.86
BPCL,Bharat Petroleum Corporation Ltd,178.0,41.9,32.1,522915.18,12.13,1.78
BPCL,Bharat Petroleum Corporation Ltd,178.0,41.9,32.1,547313.57,24.26,4.29
BRITANNIA,Britannia Industries Ltd,133.0,57.1,48.9,193703.11,39.95,9.67
BRITANNIA,Britannia Industries Ltd,133.0,57.1,48.9,240748.04,33.6,0.62
BRITANNIA,Britannia Industries Ltd,133.0,57.1,48.9,253493.14,18.2,4.8
BRITANNIA,Britannia Industries Ltd,133.0,57.1,48.9,285063.86,25.49,4.57
BRITANNIA,Britannia Industries Ltd,133.0,57.1,48.9,316483.82,73.25,8.4
BRITANNIA,Britannia Industries Ltd,133.0,57.1,48.9,324745.74,63.91,4.26
CANBK,Canara Bank,102.0,17.9,6.63,274311.19,24.47,4.6
CANBK,Canara Bank,102.0,17.9,6.63,289660.96,74.19,6.84
CANBK,Canara Bank,102.0,17.9,6.63,308875.53,31.3,11.96
CANBK,Canara Bank,102.0,17.9,6.63,312713.63,32.75,11.66
CANBK,Canara Bank,102.0,17.9,6.63,384057.8,55.56,0.63
CANBK,Canara Bank,102.0,17.9,6.63,496415.88,36.74,12.61
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,255.0,20.2,10.4,945798.69,38.56,12.71
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,255.0,20.2,10.4,971931.96,16.79,10.36
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,255.0,20.2,10.4,1050124.13,53.32,1.23
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,255.0,20.2,10.4,1228519.04,23.52,9.62
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,255.0,20.2,10.4,1426964.45,33.3,12.24
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,255.0,20.2,10.4,1617575.24,18.46,1.7
CIPLA,"Cipla Ltd
",351.0,16.8,22.8,282375.35,41.07,14.49
CIPLA,"Cipla Ltd
",351.0,16.8,22.8,288521.14,76.56,11.34
CIPLA,"Cipla Ltd
",351.0,16.8,22.8,316481.63,26.77,7.27
CIPLA,"Cipla Ltd
",351.0,16.8,22.8,338880.07,37.3,10.46
CIPLA,"Cipla Ltd
",351.0,16.8,22.8,353498.49,61.2,2.74
CIPLA,"Cipla Ltd
",351.0,16.8,22.8,439803.15,59.75,5.93
COALINDIA,Coal India Ltd,156.0,52.0,63.6,187263.0,76.5,6.82
COALINDIA,Coal India Ltd,156.0,52.0,63.6,231042.15,23.41,11.71
COALINDIA,Coal India Ltd,156.0,52.0,63.6,269353.58,77.94,9.67
COALINDIA,Coal India Ltd,156.0,52.0,63.6,359749.33,10.93,0.98
COALINDIA,Coal India Ltd,156.0,52.0,63.6,397912.96,32.17,9.72
COALINDIA,Coal India Ltd,156.0,52.0,63.6,454024.84,34.27,14.75
DABUR,Dabur India Ltd,59.0,19.2,22.3,48060.25,78.3,2.21
DABUR,Dabur India Ltd,59.0,19.2,22.3,48665.96,12.36,12.35
DABUR,Dabur India Ltd,59.0,19.2,22.3,55182.65,11.83,8.9
DABUR,Dabur India Ltd,59.0,19.2,22.3,56521.84,50.95,13.59
DABUR,Dabur India Ltd,59.0,19.2,22.3,60945.67,31.16,8.64
DABUR,Dabur India Ltd,59.0,19.2,22.3,61939.24,74.55,11.51
DIVISLAB,Divis Laboratories Ltd,517.0,12.2,16.5,1011018.76,74.55,13.82
DIVISLAB,Divis Laboratories Ltd,517.0,12.2,16.5,1300303.75,30.35,3.22
DIVISLAB,Divis Laboratories Ltd,517.0,12.2,16.5,1318782.9,15.26,3.01
DIVISLAB,Divis Laboratories Ltd,517.0,12.2,16.5,1391349.3,56.9,1.69
DIVISLAB,Divis Laboratories Ltd,517.0,12.2,16.5,1595539.83,9.75,6.26
DIVISLAB,Divis Laboratories Ltd,517.0,12.2,16.5,1615028.67,69.95,12.34
DLF,DLF Ltd,163.0,6.95,5.74,1146903.51,73.08,13.89
DLF,DLF Ltd,163.0,6.95,5.74,1162826.35,11.24,14.12
DLF,DLF Ltd,163.0,6.95,5.74,1276452.77,65.17,7.73
DLF,DLF Ltd,163.0,6.95,5.74,1348234.63,16.81,4.75
DLF,DLF Ltd,163.0,6.95,5.74,1381712.03,46.26,14.32
DLF,DLF Ltd,163.0,6.95,5.74,1520086.36,38.16,10.93
DMART,Avenue Supermarts Ltd,309.0,14.5,19.4,1847236.39,67.17,4.98
DMART,Avenue Supermarts Ltd,309.0,14.5,19.4,2028073.83,37.82,5.35
DMART,Avenue Supermarts Ltd,309.0,14.5,19.4,2294356.77,14.9,12.05
DMART,Avenue Supermarts Ltd,309.0,14.5,19.4,2664977.29,12.31,5.66
DMART,Avenue Supermarts Ltd,309.0,14.5,19.4,2748638.95,53.49,13.37
DMART,Avenue Supermarts Ltd,309.0,14.5,19.4,3053088.97,72.53,11.71
DRREDDY,Dr Reddys Laboratories Ltd,369.0,21.4,26.5,1574961.99,10.84,10.04
DRREDDY,Dr Reddys Laboratories Ltd,369.0,21.4,26.5,1617326.41,15.23,4.3
DRREDDY,Dr Reddys Laboratories Ltd,369.0,21.4,26.5,1837884.76,13.03,7.54
DRREDDY,Dr Reddys Laboratories Ltd,369.0,21.4,26.5,1859862.32,28.73,6.38
DRREDDY,Dr Reddys Laboratories Ltd,369.0,21.4,26.5,2212619.5,11.34,10.95
DRREDDY,Dr Reddys Laboratories Ltd,369.0,21.4,26.5,2441803.28,11.73,10.19
EICHERMOT,Eicher Motors Ltd,693.0,24.2,31.1,138608.74,70.5,14.42
EICHERMOT,Eicher Motors Ltd,693.0,24.2,31.1,179834.03,18.91,9.77
EICHERMOT,Eicher Motors Ltd,693.0,24.2,31.1,213781.42,70.14,9.33
EICHERMOT,Eicher Motors Ltd,693.0,24.2,31.1,222391.83,15.62,13.61
EICHERMOT,Eicher Motors Ltd,693.0,24.2,31.1,229241.72,24.82,5.49
EICHERMOT,Eicher Motors Ltd,693.0,24.2,31.1,231181.84,17.97,6.97
GAIL,GAIL (India) Ltd,127.0,14.0,14.7,665248.74,13.48,0.96
GAIL,GAIL (India) Ltd,127.0,14.0,14.7,712986.95,25.86,4.98
GAIL,GAIL (India) Ltd,127.0,14.0,14.7,901096.13,36.68,2.92
GAIL,GAIL (India) Ltd,127.0,14.0,14.7,1135214.39,30.66,11.93
GAIL,GAIL (India) Ltd,127.0,14.0,14.7,1209368.79,66.94,6.52
GAIL,GAIL (India) Ltd,127.0,14.0,14.7,1531867.57,25.84,9.54
GODREJCP,Godrej Consumer Products Ltd,119.0,6.77,26.49,807328.65,26.5,4.95
GODREJCP,Godrej Consumer Products Ltd,119.0,6.77,26.49,973100.39,55.52,0.6
GODREJCP,Godrej Consumer Products Ltd,119.0,6.77,26.49,1112834.15,54.25,5.01
GODREJCP,Godrej Consumer Products Ltd,119.0,6.77,26.49,1140203.87,19.23,4.8
GODREJCP,Godrej Consumer Products Ltd,119.0,6.77,26.49,1201313.68,40.79,13.41
GODREJCP,Godrej Consumer Products Ltd,119.0,6.77,26.49,1327797.2,33.59,8.07
GRASIM,Grasim Industries Ltd,1411.0,6.9,9.3,337446.27,15.68,3.37
GRASIM,Grasim Industries Ltd,1411.0,6.9,9.3,362884.74,23.28,10.84
GRASIM,Grasim Industries Ltd,1411.0,6.9,9.3,401734.34,56.71,7.49
GRASIM,Grasim Industries Ltd,1411.0,6.9,9.3,424758.5,38.27,13.08
GRASIM,Grasim Industries Ltd,1411.0,6.9,9.3,478951.82,79.35,5.68
GRASIM,Grasim Industries Ltd,1411.0,6.9,9.3,513646.94,64.84,6.73
HAL,Hindustan Aeronautics Ltd,465.0,28.9,38.9,1180468.36,56.05,13.51
HAL,Hindustan Aeronautics Ltd,465.0,28.9,38.9,1369023.45,68.18,9.05
HAL,Hindustan Aeronautics Ltd,465.0,28.9,38.9,1722334.17,51.22,8.86
HAL,Hindustan Aeronautics Ltd,465.0,28.9,38.9,1800174.45,8.56,2.01
HAL,Hindustan Aeronautics Ltd,465.0,28.9,38.9,2122373.86,11.8,2.43
HAL,Hindustan Aeronautics Ltd,465.0,28.9,38.9,2643616.86,71.89,3.65
HAVELLS,Havells India Ltd,124.0,18.0,24.4,1408366.0,65.28,10.66
HAVELLS,Havells India Ltd,124.0,18.0,24.4,1749780.42,10.08,13.71
HAVELLS,Havells India Ltd,124.0,18.0,24.4,2169908.17,28.52,9.54
HAVELLS,Havells India Ltd,124.0,18.0,24.4,2198343.31,79.91,10.23
HAVELLS,Havells India Ltd,124.0,18.0,24.4,2521508.87,45.41,14.08
HAVELLS,Havells India Ltd,124.0,18.0,24.4,2526633.19,66.78,4.68
HCLTECH,HCL Technologies Ltd,254.0,23.3,29.6,229691.1,60.47,11.39
HCLTECH,HCL Technologies Ltd,254.0,23.3,29.6,239391.06,47.27,5.14
HCLTECH,HCL Technologies Ltd,254.0,23.3,29.6,260125.17,77.74,7.77
HCLTECH,HCL Technologies Ltd,254.0,23.3,29.6,319536.64,69.21,12.53
HCLTECH,HCL Technologies Ltd,254.0,23.3,29.6,385586.15,9.19,2.28
HCLTECH,HCL Technologies Ltd,254.0,23.3,29.6,412593.29,63.63,5.44
HDFCBANK,HDFC Bank Ltd,601.0,17.1,7.67,534671.83,30.19,9.55
HDFCBANK,HDFC Bank Ltd,601.0,17.1,7.67,573615.98,11.64,8.0
HDFCBANK,HDFC Bank Ltd,601.0,17.1,7.67,578281.57,63.58,0.79
HDFCBANK,HDFC Bank Ltd,601.0,17.1,7.67,759039.45,8.14,1.61
HDFCBANK,HDFC Bank Ltd,601.0,17.1,7.67,808359.03,49.42,4.4
HDFCBANK,HDFC Bank Ltd,601.0,17.1,7.67,865594.78,33.49,4.99
HDFCLIFE,HDFC Life Insurance Company Ltd,73.0,11.4,6.61,33360.23,61.1,11.85
HDFCLIFE,HDFC Life Insurance Company Ltd,73.0,11.4,6.61,33844.59,53.97,3.58
HDFCLIFE,HDFC Life Insurance Company Ltd,73.0,11.4,6.61,35346.36,39.9,12.2
HDFCLIFE,HDFC Life Insurance Company Ltd,73.0,11.4,6.61,39084.76,41.01,14.89
HDFCLIFE,HDFC Life Insurance Company Ltd,73.0,11.4,6.61,43616.06,67.68,5.98
HDFCLIFE,HDFC Life Insurance Company Ltd,73.0,11.4,6.61,47027.6,50.59,11.28
HEROMOTOCO,"Hero MotoCorp Ltd
",951.0,22.0,29.1,959580.91,64.37,1.86
HEROMOTOCO,"Hero MotoCorp Ltd
",951.0,22.0,29.1,1157395.82,75.71,11.62
HEROMOTOCO,"Hero MotoCorp Ltd
",951.0,22.0,29.1,1220486.89,66.93,12.26
HEROMOTOCO,"Hero MotoCorp Ltd
",951.0,22.0,29.1,1262310.05,56.18,12.27
HEROMOTOCO,"Hero MotoCorp Ltd
",951.0,22.0,29.1,1542037.68,11.61,7.5
HEROMOTOCO,"Hero MotoCorp Ltd
",951.0,22.0,29.1,1593400.88,53.86,12.6
HINDALCO,Hindalco Industries Ltd,153.0,10.2,11.3,247258.14,24.15,12.33
HINDALCO,Hindalco Industries Ltd,153.0,10.2,11.3,287414.16,9.47,3.28
HINDALCO,Hindalco Industries Ltd,153.0,10.2,11.3,371315.5,45.59,7.92
HINDALCO,Hindalco Industries Ltd,153.0,10.2,11.3,477796.57,58.41,9.72
HINDALCO,Hindalco Industries Ltd,153.0,10.2,11.3,537689.01,71.42,2.69
HINDALCO,Hindalco Industries Ltd,153.0,10.2,11.3,722281.1,56.45,9.32
HINDUNILVR,"Hindustan Unilever Ltd
",216.0,20.2,27.2,333086.26,14.47,14.18
HINDUNILVR,"Hindustan Unilever Ltd
",216.0,20.2,27.2,365239.67,22.92,6.47
HINDUNILVR,"Hindustan Unilever Ltd
",216.0,20.2,27.2,366409.11,13.37,1.78
HINDUNILVR,"Hindustan Unilever Ltd
",216.0,20.2,27.2,435060.89,20.69,4.16
HINDUNILVR,"Hindustan Unilever Ltd
",216.0,20.2,27.2,495019.01,35.52,4.07
HINDUNILVR,"Hindustan Unilever Ltd
",216.0,20.2,27.2,548890.59,34.51,11.88
ICICIBANK,ICICI Bank Ltd,365.0,18.8,7.6,634101.51,75.38,9.81
ICICIBANK,ICICI Bank Ltd,365.0,18.8,7.6,645375.01,19.43,8.09
ICICIBANK,ICICI Bank Ltd,365.0,18.8,7.6,851486.14,12.77,9.84
ICICIBANK,ICICI Bank Ltd,365.0,18.8,7.6,1050380.96,78.39,13.83
ICICIBANK,ICICI Bank Ltd,365.0,18.8,7.6,1184576.28,78.87,1.36
ICICIBANK,ICICI Bank Ltd,365.0,18.8,7.6,1319221.86,25.76,6.2
ICICIGI,ICICI Lombard General Insurance Company Ltd,275.0,17.0,22.5,742801.33,47.5,3.75
ICICIGI,ICICI Lombard General Insurance Company Ltd,275.0,17.0,22.5,816329.22,55.8,11.08
ICICIGI,ICICI Lombard General Insurance Company Ltd,275.0,17.0,22.5,827632.41,63.73,12.4
ICICIGI,ICICI Lombard General Insurance Company Ltd,275.0,17.0,22.5,939135.7,66.71,8.08
ICICIGI,ICICI Lombard General Insurance Company Ltd,275.0,17.0,22.5,1242023.75,15.87,12.74
ICICIGI,ICICI Lombard General Insurance Company Ltd,275.0,17.0,22.5,1271789.21,49.0,7.86
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,80.0,8.07,8.75,1596987.55,20.83,12.38
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,80.0,8.07,8.75,1603509.84,52.59,3.98
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,80.0,8.07,8.75,1606002.47,76.8,0.56
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,80.0,8.07,8.75,1702653.91,71.57,4.53
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,80.0,8.07,8.75,1848771.31,34.52,5.19
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,80.0,8.07,8.75,1976358.03,36.03,3.99
INDIGO,Interglobe Aviation Ltd,97.0,,24.5,997429.81,55.98,3.2
INDIGO,Interglobe Aviation Ltd,97.0,,24.5,1034978.53,19.25,10.95
INDIGO,Interglobe Aviation Ltd,97.0,,24.5,1040632.92,76.23,7.87
INDIGO,Interglobe Aviation Ltd,97.0,,24.5,1055244.71,51.42,10.87
INDIGO,Interglobe Aviation Ltd,97.0,,24.5,1232702.22,41.91,14.04
INDIGO,Interglobe Aviation Ltd,97.0,,24.5,1427895.35,60.24,6.95
INDUSINDBK,IndusInd Bank Ltd,807.0,15.2,7.93,1287117.57,60.27,1.94
INDUSINDBK,IndusInd Bank Ltd,807.0,15.2,7.93,1305732.17,68.96,5.36
INDUSINDBK,IndusInd Bank Ltd,807.0,15.2,7.93,1682555.96,49.44,2.2
INDUSINDBK,IndusInd Bank Ltd,807.0,15.2,7.93,1807433.12,8.99,3.7
INDUSINDBK,IndusInd Bank Ltd,807.0,15.2,7.93,1839916.06,71.98,0.61
INDUSINDBK,IndusInd Bank Ltd,807.0,15.2,7.93,2045876.29,51.73,8.29
INFY,Infosys Ltd,218.0,31.8,40.0,468232.33,26.14,13.59
INFY,Infosys Ltd,218.0,31.8,40.0,473902.69,32.63,10.31
INFY,Infosys Ltd,218.0,31.8,40.0,624026.61,31.65,1.88
INFY,Infosys Ltd,218.0,31.8,40.0,800850.39,36.33,9.93
INFY,Infosys Ltd,218.0,31.8,40.0,871427.0,71.12,11.97
INFY,Infosys Ltd,218.0,31.8,40.0,1112279.92,35.99,8.97
IOC,"Indian Oil Corporation
",129.0,25.44,21.31,1122574.59,15.28,13.46
IOC,"Indian Oil Corporation
",129.0,25.44,21.31,1296710.19,47.71,1.36
