id,company_name,roe_percentage,roce_percentage,market_cap_crore,pe_ratio,pb_ratio,roe,roa,debt_equity,sales_cagr,profit_cagr
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.1997,0.1341,1.4895,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2134,0.1578,1.3523,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2241,0.153,1.4646,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2241,0.1599,1.4019,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2369,0.166,1.4271,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2439,0.1672,1.4591,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2444,0.1667,1.4664,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2513,0.1738,1.4454,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2656,0.1799,1.4758,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2833,0.1892,1.4979,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.2977,0.2083,1.4291,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1161513.28,58.34,12.72,0.3247,0.2313,1.4039,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.1997,0.1341,1.4895,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2134,0.1578,1.3523,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2241,0.153,1.4646,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2241,0.1599,1.4019,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2369,0.166,1.4271,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2439,0.1672,1.4591,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2444,0.1667,1.4664,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2513,0.1738,1.4454,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2656,0.1799,1.4758,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2833,0.1892,1.4979,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.2977,0.2083,1.4291,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1185994.82,18.68,4.75,0.3247,0.2313,1.4039,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.1997,0.1341,1.4895,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2134,0.1578,1.3523,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2241,0.153,1.4646,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2241,0.1599,1.4019,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2369,0.166,1.4271,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2439,0.1672,1.4591,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2444,0.1667,1.4664,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2513,0.1738,1.4454,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2656,0.1799,1.4758,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2833,0.1892,1.4979,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.2977,0.2083,1.4291,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1536236.24,75.58,4.48,0.3247,0.2313,1.4039,11.44,19.94
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,-0.0065,-0.0006,10.6113,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.0,,0.0,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.0695,0.0172,4.048,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.0831,0.0178,4.6724,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.0946,0.0204,4.6308,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.109,0.0238,4.5903,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.1247,0.026,4.7881,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.1377,0.0313,4.396,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.1412,0.0325,4.3471,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.1446,0.0298,4.8474,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,171905.69,76.72,12.85,0.1887,0.0662,2.8504,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,-0.0065,-0.0006,10.6113,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.0,,0.0,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.0695,0.0172,4.048,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.0831,0.0178,4.6724,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.0946,0.0204,4.6308,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.109,0.0238,4.5903,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.1247,0.026,4.7881,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.1377,0.0313,4.396,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.1412,0.0325,4.3471,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.1446,0.0298,4.8474,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,217135.25,35.93,9.79,0.1887,0.0662,2.8504,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,-0.0065,-0.0006,10.6113,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.0,,0.0,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.0695,0.0172,4.048,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.0831,0.0178,4.6724,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.0946,0.0204,4.6308,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.109,0.0238,4.5903,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.1247,0.026,4.7881,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.1377,0.0313,4.396,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.1412,0.0325,4.3471,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.1446,0.0298,4.8474,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,263283.51,28.96,13.96,0.1887,0.0662,2.8504,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,-0.0065,-0.0006,10.6113,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.0,,0.0,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.0695,0.0172,4.048,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.0831,0.0178,4.6724,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.0946,0.0204,4.6308,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.109,0.0238,4.5903,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.1247,0.026,4.7881,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.1377,0.0313,4.396,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.1412,0.0325,4.3471,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.1446,0.0298,4.8474,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,275655.59,59.65,14.71,0.1887,0.0662,2.8504,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,-0.0065,-0.0006,10.6113,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.0,,0.0,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.0695,0.0172,4.048,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.0831,0.0178,4.6724,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.0946,0.0204,4.6308,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.109,0.0238,4.5903,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.1247,0.026,4.7881,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.1377,0.0313,4.396,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.1412,0.0325,4.3471,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.1446,0.0298,4.8474,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,306303.52,71.21,6.44,0.1887,0.0662,2.8504,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,-0.0065,-0.0006,10.6113,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.0,,0.0,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.0695,0.0172,4.048,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.0831,0.0178,4.6724,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.0946,0.0204,4.6308,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.109,0.0238,4.5903,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.1247,0.026,4.7881,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.1377,0.0313,4.396,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.1412,0.0325,4.3471,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.1446,0.0298,4.8474,,
ADANIENSOL,Adani Energy Solutions Ltd,8.59,9.0,348517.36,58.5,9.05,0.1887,0.0662,2.8504,,
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0343,0.0119,2.8826,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0354,0.0078,4.5642,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0394,0.0105,3.7382,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0569,0.0109,5.2286,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.061,0.0203,3.0082,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0614,0.0222,2.766,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0654,0.0194,3.3681,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0733,0.0171,4.2745,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0747,0.024,3.1155,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0853,0.0208,4.1096,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.0893,0.0176,5.0808,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,173718.83,56.08,5.69,0.1114,0.0224,4.9713,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0343,0.0119,2.8826,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0354,0.0078,4.5642,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0394,0.0105,3.7382,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0569,0.0109,5.2286,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.061,0.0203,3.0082,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0614,0.0222,2.766,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0654,0.0194,3.3681,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0733,0.0171,4.2745,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0747,0.024,3.1155,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0853,0.0208,4.1096,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.0893,0.0176,5.0808,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,186771.02,56.13,9.8,0.1114,0.0224,4.9713,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0343,0.0119,2.8826,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0354,0.0078,4.5642,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0394,0.0105,3.7382,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0569,0.0109,5.2286,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.061,0.0203,3.0082,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0614,0.0222,2.766,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0654,0.0194,3.3681,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0733,0.0171,4.2745,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0747,0.024,3.1155,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0853,0.0208,4.1096,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.0893,0.0176,5.0808,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,187927.97,58.87,10.41,0.1114,0.0224,4.9713,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0343,0.0119,2.8826,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0354,0.0078,4.5642,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0394,0.0105,3.7382,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0569,0.0109,5.2286,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.061,0.0203,3.0082,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0614,0.0222,2.766,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0654,0.0194,3.3681,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0733,0.0171,4.2745,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0747,0.024,3.1155,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0853,0.0208,4.1096,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.0893,0.0176,5.0808,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,196563.95,65.7,5.32,0.1114,0.0224,4.9713,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0343,0.0119,2.8826,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0354,0.0078,4.5642,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0394,0.0105,3.7382,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0569,0.0109,5.2286,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.061,0.0203,3.0082,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0614,0.0222,2.766,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0654,0.0194,3.3681,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0733,0.0171,4.2745,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0747,0.024,3.1155,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0853,0.0208,4.1096,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.0893,0.0176,5.0808,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,205258.66,72.59,8.25,0.1114,0.0224,4.9713,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0343,0.0119,2.8826,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0354,0.0078,4.5642,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0394,0.0105,3.7382,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0569,0.0109,5.2286,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.061,0.0203,3.0082,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0614,0.0222,2.766,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0654,0.0194,3.3681,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0733,0.0171,4.2745,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0747,0.024,3.1155,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0853,0.0208,4.1096,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.0893,0.0176,5.0808,6.82,14.35
ADANIENT,Adani Enterprises Ltd,13.64,11.6,217309.44,36.71,2.39,0.1114,0.0224,4.9713,6.82,14.35
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,-0.2457,-0.0324,7.583,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,-0.1029,-0.0088,11.7144,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,-0.0391,-0.0076,5.1205,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,-0.0289,-0.0037,7.8167,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,0.0827,0.0063,13.0418,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,0.1281,0.0143,8.9573,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,0.1332,0.0145,9.1606,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,449015.01,9.89,6.92,0.1871,0.0083,22.5532,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,-0.2457,-0.0324,7.583,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,-0.1029,-0.0088,11.7144,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,-0.0391,-0.0076,5.1205,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,-0.0289,-0.0037,7.8167,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,0.0827,0.0063,13.0418,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,0.1281,0.0143,8.9573,46.72,
ADANIGREEN,Adani Green Energy Ltd,14.7,96.5,485373.12,29.07,10.49,0.1332,0.0145,9.1606,46.72,
